"ID","default"
5,"0"
17,"0"
19,"0"
23,"0"
27,"0"
30,"0"
32,"1"
34,"0"
37,"0"
38,"0"
42,"0"
58,"0"
61,"0"
65,"0"
68,"0"
71,"0"
80,"0"
81,"0"
95,"0"
96,"0"
97,"0"
100,"0"
103,"0"
105,"1"
106,"0"
107,"0"
116,"0"
118,"1"
120,"0"
123,"0"
127,"1"
130,"1"
133,"0"
140,"0"
141,"0"
146,"0"
157,"0"
161,"0"
163,"0"
167,"0"
178,"0"
179,"0"
181,"0"
189,"0"
194,"0"
205,"0"
206,"0"
209,"0"
219,"0"
232,"0"
238,"0"
239,"0"
245,"0"
246,"0"
255,"0"
259,"0"
261,"0"
264,"0"
267,"0"
274,"0"
284,"1"
291,"0"
297,"0"
299,"0"
304,"0"
308,"0"
311,"0"
315,"1"
316,"0"
322,"0"
328,"1"
332,"0"
344,"0"
347,"1"
352,"0"
355,"1"
372,"0"
376,"1"
377,"1"
382,"1"
385,"0"
388,"1"
392,"0"
398,"0"
414,"0"
428,"0"
433,"0"
437,"0"
441,"0"
456,"0"
463,"0"
467,"0"
468,"0"
482,"0"
491,"0"
492,"1"
499,"0"
501,"0"
512,"0"
520,"0"
528,"1"
531,"0"
538,"0"
544,"0"
546,"0"
548,"0"
549,"0"
552,"0"
558,"0"
563,"0"
564,"0"
566,"0"
573,"0"
588,"0"
595,"0"
600,"0"
603,"0"
605,"0"
608,"0"
611,"0"
615,"1"
621,"0"
622,"0"
629,"0"
643,"0"
646,"0"
647,"1"
649,"1"
650,"0"
653,"0"
657,"0"
661,"0"
673,"1"
674,"1"
676,"1"
677,"1"
683,"0"
684,"0"
688,"0"
690,"0"
695,"0"
703,"0"
710,"0"
718,"0"
720,"0"
721,"0"
724,"0"
725,"0"
732,"0"
745,"0"
749,"0"
752,"0"
755,"0"
759,"0"
761,"0"
762,"0"
766,"0"
770,"0"
771,"0"
784,"0"
794,"0"
796,"0"
797,"0"
798,"0"
805,"0"
806,"0"
808,"0"
812,"0"
813,"0"
814,"0"
